Date,IceIn,IceOut,IceThickness_in,IceCover_Percent,Notes,Lowest _Air_Temperature_For_That_Month_degF,Highest _Air_Temperature_For_That_Month_degF
4/3/1931,NA,NA,,,,,
4/4/1931,NA,NA,,,,,
4/5/1931,NA,NA,,,,,
4/6/1931,NA,NA,,,,,
4/7/1931,NA,NA,,,,,
4/8/1931,NA,NA,,,,,
4/9/1931,NA,NA,,,,,
4/10/1931,NA,NA,,,,,
4/11/1931,NA,NA,,,,,
4/12/1931,NA,NA,,,,,
4/13/1931,NA,NA,,,,,
4/14/1931,NA,NA,,,,,
4/15/1931,NA,NA,,,,,
4/16/1931,NA,NA,,,,,
4/17/1931,NA,NA,,,,,
4/18/1931,NA,NA,,,,,
4/19/1931,NA,NA,,,,,
4/20/1931,NA,NA,,,,,
4/21/1931,NA,NA,,,,,
4/22/1931,NA,NA,,,,,
4/23/1931,NA,NA,,,,,
4/24/1931,NA,NA,,,,,
4/25/1931,NA,NA,,,,,
4/26/1931,NA,NA,,,,,
4/27/1931,NA,NA,,,,,
4/28/1931,NA,NA,,,,,
4/29/1931,NA,NA,,,,,
4/30/1931,NA,NA,,,,,
5/1/1931,NA,NA,,,,,
5/2/1931,NA,NA,,,,,
5/3/1931,NA,NA,,,,,
5/4/1931,NA,NA,,,,,
5/5/1931,NA,NA,,,,,
5/6/1931,NA,NA,,,,,
5/7/1931,NA,NA,,,,,
5/8/1931,NA,NA,,,,,
5/9/1931,NA,NA,,,,,
5/10/1931,NA,NA,,,,,
5/11/1931,NA,NA,,,,,
5/12/1931,NA,NA,,,,,
5/13/1931,NA,NA,,,,,
5/14/1931,NA,NA,,,,,
5/15/1931,NA,NA,,,,,
5/16/1931,NA,NA,,,,,
5/17/1931,NA,NA,,,,,
5/18/1931,NA,NA,,,,,
5/19/1931,NA,NA,,,,,
5/20/1931,NA,NA,,,,,
5/21/1931,NA,NA,,,,,
5/22/1931,NA,NA,,,,,
5/23/1931,NA,NA,,,,,
5/24/1931,NA,NA,,,,,
5/25/1931,NA,NA,,,,,
5/26/1931,NA,NA,,,,,
5/27/1931,NA,NA,,,,,
5/28/1931,NA,NA,,,,,
5/29/1931,NA,NA,,,,,
5/30/1931,NA,NA,,,,,
5/31/1931,NA,NA,,,,,
6/1/1931,NA,NA,,,,,
6/2/1931,NA,NA,,,,,
6/3/1931,NA,NA,,,,,
6/4/1931,NA,NA,,,,,
6/5/1931,NA,NA,,,,,
6/6/1931,NA,NA,,,,,
6/7/1931,NA,NA,,,,,
6/8/1931,NA,NA,,,,,
6/9/1931,NA,NA,,,,,
6/10/1931,NA,NA,,,,,
6/11/1931,NA,NA,,,,,
6/12/1931,NA,NA,,,,,
6/13/1931,NA,NA,,,,,
6/14/1931,NA,NA,,,,,
6/15/1931,NA,NA,,,,,
6/16/1931,NA,NA,,,,,
6/17/1931,NA,NA,,,,,
6/18/1931,NA,NA,,,,,
6/19/1931,NA,NA,,,,,
6/20/1931,NA,NA,,,,,
6/21/1931,NA,NA,,,,,
6/22/1931,NA,NA,,,,,
6/23/1931,NA,NA,,,,,
6/24/1931,NA,NA,,,,,
6/25/1931,NA,NA,,,,,
6/26/1931,NA,NA,,,,,
6/27/1931,NA,NA,,,,,
6/28/1931,NA,NA,,,,,
6/29/1931,NA,NA,,,,,
6/30/1931,NA,NA,,,,,
7/1/1931,NA,NA,,,,,
7/2/1931,NA,NA,,,,,
7/3/1931,NA,NA,,,,,
7/4/1931,NA,NA,,,,,
7/5/1931,NA,NA,,,,,
7/6/1931,NA,NA,,,,,
7/7/1931,NA,NA,,,,,
7/8/1931,NA,NA,,,,,
7/9/1931,NA,NA,,,,,
7/10/1931,NA,NA,,,,,
7/11/1931,NA,NA,,,,,
7/12/1931,NA,NA,,,,,
7/13/1931,NA,NA,,,,,
7/14/1931,NA,NA,,,,,
7/15/1931,NA,NA,,,,,
7/16/1931,NA,NA,,,,,
7/17/1931,NA,NA,,,,,
7/18/1931,NA,NA,,,,,
7/19/1931,NA,NA,,,,,
7/20/1931,NA,NA,,,,,
7/21/1931,NA,NA,,,,,
7/22/1931,NA,NA,,,,,
7/23/1931,NA,NA,,,,,
7/24/1931,NA,NA,,,,,
7/25/1931,NA,NA,,,,,
7/26/1931,NA,NA,,,,,
7/27/1931,NA,NA,,,,,
7/28/1931,NA,NA,,,,,
7/29/1931,NA,NA,,,,,
7/30/1931,NA,NA,,,,,
7/31/1931,NA,NA,,,,,
8/1/1931,NA,NA,,,,,
8/2/1931,NA,NA,,,,,
8/3/1931,NA,NA,,,,,
8/4/1931,NA,NA,,,,,
8/5/1931,NA,NA,,,,,
8/6/1931,NA,NA,,,,,
8/7/1931,NA,NA,,,,,
8/8/1931,NA,NA,,,,,
8/9/1931,NA,NA,,,,,
8/10/1931,NA,NA,,,,,
8/11/1931,NA,NA,,,,,
8/12/1931,NA,NA,,,,,
8/13/1931,NA,NA,,,,,
8/14/1931,NA,NA,,,,,
8/15/1931,NA,NA,,,,,
8/16/1931,NA,NA,,,,,
8/17/1931,NA,NA,,,,,
8/18/1931,NA,NA,,,,,
8/19/1931,NA,NA,,,,,
8/20/1931,NA,NA,,,,,
8/21/1931,NA,NA,,,,,
8/22/1931,NA,NA,,,,,
8/23/1931,NA,NA,,,,,
8/24/1931,NA,NA,,,,,
8/25/1931,NA,NA,,,,,
8/26/1931,NA,NA,,,,,
8/27/1931,NA,NA,,,,,
8/28/1931,NA,NA,,,,,
8/29/1931,NA,NA,,,,,
8/30/1931,NA,NA,,,,,
8/31/1931,NA,NA,,,,,
9/1/1931,NA,NA,,,,,
9/2/1931,NA,NA,,,,,
9/3/1931,NA,NA,,,,,
9/4/1931,NA,NA,,,,,
9/5/1931,NA,NA,,,,,
9/6/1931,NA,NA,,,,,
9/7/1931,NA,NA,,,,,
9/8/1931,NA,NA,,,,,
9/9/1931,NA,NA,,,,,
9/10/1931,NA,NA,,,,,
9/11/1931,NA,NA,,,,,
9/12/1931,NA,NA,,,,,
9/13/1931,NA,NA,,,,,
9/14/1931,NA,NA,,,,,
9/15/1931,NA,NA,,,,,
9/16/1931,NA,NA,,,,,
9/17/1931,NA,NA,,,,,
9/18/1931,NA,NA,,,,,
9/19/1931,NA,NA,,,,,
9/20/1931,NA,NA,,,,,
9/21/1931,NA,NA,,,,,
9/22/1931,NA,NA,,,,,
9/23/1931,NA,NA,,,,,
9/24/1931,NA,NA,,,,,
9/25/1931,NA,NA,,,,,
9/26/1931,NA,NA,,,,,
9/27/1931,NA,NA,,,,,
9/28/1931,NA,NA,,,,,
9/29/1931,NA,NA,,,,,
9/30/1931,NA,NA,,,,,
10/1/1931,NA,NA,,,,,
10/2/1931,NA,NA,,,,,
10/3/1931,NA,NA,,,,,
10/4/1931,NA,NA,,,,,
10/5/1931,NA,NA,,,,,
10/6/1931,NA,NA,,,,,
10/7/1931,NA,NA,,,,,
10/8/1931,NA,NA,,,,,
10/9/1931,NA,NA,,,,,
10/10/1931,NA,NA,,,,,
10/11/1931,NA,NA,,,,,
10/12/1931,NA,NA,,,,,
10/13/1931,NA,NA,,,,,
10/14/1931,NA,NA,,,,,
10/15/1931,NA,NA,,,,,
10/16/1931,NA,NA,,,,,
10/17/1931,NA,NA,,,,,
10/18/1931,NA,NA,,,,,
10/19/1931,NA,NA,,,,,
10/20/1931,NA,NA,,,,,
10/21/1931,NA,NA,,,,,
10/22/1931,NA,NA,,,,,
10/23/1931,NA,NA,,,,,
10/24/1931,NA,NA,,,,,
10/25/1931,NA,NA,,,,,
10/26/1931,NA,NA,,,,,
10/27/1931,NA,NA,,,,,
10/28/1931,NA,NA,,,,,
10/29/1931,NA,NA,,,,,
10/30/1931,NA,NA,,,,,
10/31/1931,NA,NA,,,,,
11/1/1931,NA,NA,,,,,
11/2/1931,NA,NA,,,,,
11/3/1931,NA,NA,,,,,
11/4/1931,NA,NA,,,,,
11/5/1931,NA,NA,,,,,
11/6/1931,NA,NA,,,,,
11/7/1931,NA,NA,,,,,
11/8/1931,NA,NA,,,,,
11/9/1931,NA,NA,,,,,
11/10/1931,NA,NA,,,,,
11/11/1931,NA,NA,,,,,
11/12/1931,NA,NA,,,,,
11/13/1931,NA,NA,,,,,
11/14/1931,NA,NA,,,,,
11/15/1931,NA,NA,,,,,
11/16/1931,NA,NA,,,,,
11/17/1931,NA,NA,,,,,
11/18/1931,NA,NA,,,,,
11/19/1931,NA,NA,,,,,
11/20/1931,NA,NA,,,,,
11/21/1931,NA,NA,,,,,
11/22/1931,NA,NA,,,,,
11/23/1931,NA,NA,,,,,
11/24/1931,NA,NA,,,,,
11/25/1931,NA,NA,,,,,
11/26/1931,NA,NA,,,,,
11/27/1931,NA,NA,,,,,
11/28/1931,NA,NA,,,,,
11/29/1931,NA,NA,,,,,
11/30/1931,NA,NA,,,,,
12/1/1931,NA,NA,,,,,
12/2/1931,NA,NA,,,,,
12/3/1931,NA,NA,,,,,
12/4/1931,NA,NA,,,,,
12/5/1931,NA,NA,,,,,
12/6/1931,NA,NA,,,,,
12/7/1931,NA,NA,,,,,
12/8/1931,NA,NA,,,,,
12/9/1931,NA,NA,,,,,
12/10/1931,NA,NA,,,,,
12/11/1931,NA,NA,,,,,
12/12/1931,NA,NA,,,,,
12/13/1931,NA,NA,,,,,
12/14/1931,NA,NA,,,,,
12/15/1931,NA,NA,,,,,
12/16/1931,NA,NA,,,,,
12/17/1931,NA,NA,,,,,
12/18/1931,NA,NA,,,,,
12/19/1931,NA,NA,,,,,
12/20/1931,NA,NA,,,,,
12/21/1931,NA,NA,,,,,
12/22/1931,NA,NA,,,,,
12/23/1931,NA,NA,,,,,
12/24/1931,NA,NA,,,,,
12/25/1931,NA,NA,,,,,
12/26/1931,NA,NA,,,,,
12/27/1931,NA,NA,,,,,
12/28/1931,NA,NA,,,,,
12/29/1931,NA,NA,,,,,
12/30/1931,NA,NA,,,,,
12/31/1931,NA,NA,,,,,
1/1/1932,NA,NA,,,,,
1/2/1932,NA,NA,,,,,
1/3/1932,NA,NA,,,,,
1/4/1932,NA,NA,,,,,
1/5/1932,NA,NA,,,,,
1/6/1932,NA,NA,,,,,
1/7/1932,NA,NA,,,,,
1/8/1932,NA,NA,,,,,
1/9/1932,NA,NA,,,,,
1/10/1932,NA,NA,,,,,
1/11/1932,NA,NA,,,,,
1/12/1932,NA,NA,,,,,
1/13/1932,NA,NA,,,,,
1/14/1932,NA,NA,,,,,
1/15/1932,NA,NA,,,,,
1/16/1932,NA,NA,,,,,
1/17/1932,NA,NA,,,,,
1/18/1932,NA,NA,,,,,
1/19/1932,NA,NA,,,,,
1/20/1932,NA,NA,,,,,
1/21/1932,NA,NA,,,,,
1/22/1932,NA,NA,,,,,
1/23/1932,NA,NA,,,,,
1/24/1932,NA,NA,,,,,
1/25/1932,NA,NA,,,,,
1/26/1932,NA,NA,,,,,
1/27/1932,NA,NA,,,,,
1/28/1932,NA,NA,,,,,
1/29/1932,NA,NA,,,,,
1/30/1932,NA,NA,,,,,
1/31/1932,NA,NA,,,,,
2/1/1932,NA,NA,,,,,
2/2/1932,NA,NA,,,,,
2/3/1932,NA,NA,,,,,
2/4/1932,NA,NA,,,,,
2/5/1932,NA,NA,,,,,
2/6/1932,NA,NA,,,,,
2/7/1932,NA,NA,,,,,
2/8/1932,NA,NA,,,,,
2/9/1932,NA,NA,,,,,
2/10/1932,NA,NA,,,,,
2/11/1932,NA,NA,,,,,
2/12/1932,NA,NA,,,,,
2/13/1932,NA,NA,,,,,
2/14/1932,NA,NA,,,,,
2/15/1932,NA,NA,,,,,
2/16/1932,NA,NA,,,,,
2/17/1932,NA,NA,,,,,
2/18/1932,NA,NA,,,,,
2/19/1932,NA,NA,,,,,
2/20/1932,NA,NA,,,,,
2/21/1932,NA,NA,,,,,
2/22/1932,NA,NA,,,,,
2/23/1932,NA,NA,,,,,
2/24/1932,NA,NA,,,,,
2/25/1932,NA,NA,,,,,
2/26/1932,NA,NA,,,,,
2/27/1932,NA,NA,,,,,
2/28/1932,NA,NA,,,,,
2/29/1932,NA,NA,,,,,
3/1/1932,NA,NA,,,,,
3/2/1932,NA,NA,,,,,
3/3/1932,NA,NA,,,,,
3/4/1932,NA,NA,,,,,
3/5/1932,NA,NA,,,,,
3/6/1932,NA,NA,,,,,
3/7/1932,NA,NA,,,,,
3/8/1932,NA,NA,,,,,
3/9/1932,NA,NA,,,,,
3/10/1932,NA,NA,,,,,
3/11/1932,NA,NA,,,,,
3/12/1932,NA,NA,,,,,
3/13/1932,NA,NA,,,,,
3/14/1932,NA,NA,,,,,
3/15/1932,NA,NA,,,,,
3/16/1932,NA,NA,,,,,
3/17/1932,NA,NA,,,,,
3/18/1932,NA,NA,,,,,
3/19/1932,NA,NA,,,,,
3/20/1932,NA,NA,,,,,
3/21/1932,NA,NA,,,,,
3/22/1932,NA,NA,,,,,
3/23/1932,NA,NA,,,,,
3/24/1932,NA,NA,,,,,
3/25/1932,NA,NA,,,,,
3/26/1932,NA,NA,,,,,
3/27/1932,NA,NA,,,,,
3/28/1932,NA,NA,,,,,
3/29/1932,NA,NA,,,,,
3/30/1932,NA,NA,,,,,
3/31/1932,NA,NA,,,,,
4/1/1932,NA,NA,,,,,
4/2/1932,NA,NA,,,,,
4/3/1932,NA,NA,,,,,
4/4/1932,NA,NA,,,,,
4/5/1932,NA,NA,,,,,
4/6/1932,NA,IceOutDay,,,,,
4/7/1932,NA,NA,,,,,
4/8/1932,NA,NA,,,,,
4/9/1932,NA,NA,,,,,
4/10/1932,NA,NA,,,,,
4/11/1932,NA,NA,,,,,
4/12/1932,NA,NA,,,,,
4/13/1932,NA,NA,,,,,
4/14/1932,NA,NA,,,,,
4/15/1932,NA,NA,,,,,
4/16/1932,NA,NA,,,,,
4/17/1932,NA,NA,,,,,
4/18/1932,NA,NA,,,,,
4/19/1932,NA,NA,,,,,
4/20/1932,NA,NA,,,,,
4/21/1932,NA,NA,,,,,
4/22/1932,NA,NA,,,,,
4/23/1932,NA,NA,,,,,
4/24/1932,NA,NA,,,,,
4/25/1932,NA,NA,,,,,
4/26/1932,NA,NA,,,,,
4/27/1932,NA,NA,,,,,
4/28/1932,NA,NA,,,,,
4/29/1932,NA,NA,,,,,
4/30/1932,NA,NA,,,,,
5/1/1932,NA,NA,,,,,
5/2/1932,NA,NA,,,,,
5/3/1932,NA,NA,,,,,
5/4/1932,NA,NA,,,,,
5/5/1932,NA,NA,,,,,
5/6/1932,NA,NA,,,,,
5/7/1932,NA,NA,,,,,
5/8/1932,NA,NA,,,,,
5/9/1932,NA,NA,,,,,
5/10/1932,NA,NA,,,,,
5/11/1932,NA,NA,,,,,
5/12/1932,NA,NA,,,,,
5/13/1932,NA,NA,,,,,
5/14/1932,NA,NA,,,,,
5/15/1932,NA,NA,,,,,
5/16/1932,NA,NA,,,,,
5/17/1932,NA,NA,,,,,
5/18/1932,NA,NA,,,,,
5/19/1932,NA,NA,,,,,
5/20/1932,NA,NA,,,,,
5/21/1932,NA,NA,,,,,
5/22/1932,NA,NA,,,,,
5/23/1932,NA,NA,,,,,
5/24/1932,NA,NA,,,,,
5/25/1932,NA,NA,,,,,
5/26/1932,NA,NA,,,,,
5/27/1932,NA,NA,,,,,
5/28/1932,NA,NA,,,,,
5/29/1932,NA,NA,,,,,
5/30/1932,NA,NA,,,,,
5/31/1932,NA,NA,,,,,
6/1/1932,NA,NA,,,,,
6/2/1932,NA,NA,,,,,
6/3/1932,NA,NA,,,,,
6/4/1932,NA,NA,,,,,
6/5/1932,NA,NA,,,,,
6/6/1932,NA,NA,,,,,
6/7/1932,NA,NA,,,,,
6/8/1932,NA,NA,,,,,
6/9/1932,NA,NA,,,,,
6/10/1932,NA,NA,,,,,
6/11/1932,NA,NA,,,,,
6/12/1932,NA,NA,,,,,
6/13/1932,NA,NA,,,,,
6/14/1932,NA,NA,,,,,
6/15/1932,NA,NA,,,,,
6/16/1932,NA,NA,,,,,
6/17/1932,NA,NA,,,,,
6/18/1932,NA,NA,,,,,
6/19/1932,NA,NA,,,,,
6/20/1932,NA,NA,,,,,
6/21/1932,NA,NA,,,,,
6/22/1932,NA,NA,,,,,
6/23/1932,NA,NA,,,,,
6/24/1932,NA,NA,,,,,
6/25/1932,NA,NA,,,,,
6/26/1932,NA,NA,,,,,
6/27/1932,NA,NA,,,,,
6/28/1932,NA,NA,,,,,
6/29/1932,NA,NA,,,,,
6/30/1932,NA,NA,,,,,
7/1/1932,NA,NA,,,,,
7/2/1932,NA,NA,,,,,
7/3/1932,NA,NA,,,,,
7/4/1932,NA,NA,,,,,
7/5/1932,NA,NA,,,,,
7/6/1932,NA,NA,,,,,
7/7/1932,NA,NA,,,,,
7/8/1932,NA,NA,,,,,
7/9/1932,NA,NA,,,,,
7/10/1932,NA,NA,,,,,
7/11/1932,NA,NA,,,,,
7/12/1932,NA,NA,,,,,
7/13/1932,NA,NA,,,,,
7/14/1932,NA,NA,,,,,
7/15/1932,NA,NA,,,,,
7/16/1932,NA,NA,,,,,
7/17/1932,NA,NA,,,,,
7/18/1932,NA,NA,,,,,
7/19/1932,NA,NA,,,,,
7/20/1932,NA,NA,,,,,
7/21/1932,NA,NA,,,,,
7/22/1932,NA,NA,,,,,
7/23/1932,NA,NA,,,,,
7/24/1932,NA,NA,,,,,
7/25/1932,NA,NA,,,,,
7/26/1932,NA,NA,,,,,
7/27/1932,NA,NA,,,,,
7/28/1932,NA,NA,,,,,
7/29/1932,NA,NA,,,,,
7/30/1932,NA,NA,,,,,
7/31/1932,NA,NA,,,,,
8/1/1932,NA,NA,,,,,
8/2/1932,NA,NA,,,,,
8/3/1932,NA,NA,,,,,
8/4/1932,NA,NA,,,,,
8/5/1932,NA,NA,,,,,
8/6/1932,NA,NA,,,,,
8/7/1932,NA,NA,,,,,
8/8/1932,NA,NA,,,,,
8/9/1932,NA,NA,,,,,
8/10/1932,NA,NA,,,,,
8/11/1932,NA,NA,,,,,
8/12/1932,NA,NA,,,,,
8/13/1932,NA,NA,,,,,
8/14/1932,NA,NA,,,,,
8/15/1932,NA,NA,,,,,
8/16/1932,NA,NA,,,,,
8/17/1932,NA,NA,,,,,
8/18/1932,NA,NA,,,,,
8/19/1932,NA,NA,,,,,
8/20/1932,NA,NA,,,,,
8/21/1932,NA,NA,,,,,
8/22/1932,NA,NA,,,,,
8/23/1932,NA,NA,,,,,
8/24/1932,NA,NA,,,,,
8/25/1932,NA,NA,,,,,
8/26/1932,NA,NA,,,,,
8/27/1932,NA,NA,,,,,
8/28/1932,NA,NA,,,,,
8/29/1932,NA,NA,,,,,
8/30/1932,NA,NA,,,,,
8/31/1932,NA,NA,,,,,
9/1/1932,NA,NA,,,,,
9/2/1932,NA,NA,,,,,
9/3/1932,NA,NA,,,,,
9/4/1932,NA,NA,,,,,
9/5/1932,NA,NA,,,,,
9/6/1932,NA,NA,,,,,
9/7/1932,NA,NA,,,,,
9/8/1932,NA,NA,,,,,
9/9/1932,NA,NA,,,,,
9/10/1932,NA,NA,,,,,
9/11/1932,NA,NA,,,,,
9/12/1932,NA,NA,,,,,
9/13/1932,NA,NA,,,,,
9/14/1932,NA,NA,,,,,
9/15/1932,NA,NA,,,,,
9/16/1932,NA,NA,,,,,
9/17/1932,NA,NA,,,,,
9/18/1932,NA,NA,,,,,
9/19/1932,NA,NA,,,,,
9/20/1932,NA,NA,,,,,
9/21/1932,NA,NA,,,,,
9/22/1932,NA,NA,,,,,
9/23/1932,NA,NA,,,,,
9/24/1932,NA,NA,,,,,
9/25/1932,NA,NA,,,,,
9/26/1932,NA,NA,,,,,
9/27/1932,NA,NA,,,,,
9/28/1932,NA,NA,,,,,
9/29/1932,NA,NA,,,,,
9/30/1932,NA,NA,,,,,
10/1/1932,NA,NA,,,,,
10/2/1932,NA,NA,,,,,
10/3/1932,NA,NA,,,,,
10/4/1932,NA,NA,,,,,
10/5/1932,NA,NA,,,,,
10/6/1932,NA,NA,,,,,
10/7/1932,NA,NA,,,,,
10/8/1932,NA,NA,,,,,
10/9/1932,NA,NA,,,,,
10/10/1932,NA,NA,,,,,
10/11/1932,NA,NA,,,,,
10/12/1932,NA,NA,,,,,
10/13/1932,NA,NA,,,,,
10/14/1932,NA,NA,,,,,
10/15/1932,NA,NA,,,,,
10/16/1932,NA,NA,,,,,
10/17/1932,NA,NA,,,,,
10/18/1932,NA,NA,,,,,
10/19/1932,NA,NA,,,,,
10/20/1932,NA,NA,,,,,
10/21/1932,NA,NA,,,,,
10/22/1932,NA,NA,,,,,
10/23/1932,NA,NA,,,,,
10/24/1932,NA,NA,,,,,
10/25/1932,NA,NA,,,,,
10/26/1932,NA,NA,,,,,
10/27/1932,NA,NA,,,,,
10/28/1932,NA,NA,,,,,
10/29/1932,NA,NA,,,,,
10/30/1932,NA,NA,,,,,
10/31/1932,NA,NA,,,,,
11/1/1932,NA,NA,,,,,
11/2/1932,NA,NA,,,,,
11/3/1932,NA,NA,,,,,
11/4/1932,NA,NA,,,,,
11/5/1932,NA,NA,,,,,
11/6/1932,NA,NA,,,,,
11/7/1932,NA,NA,,,,,
11/8/1932,NA,NA,,,,,
11/9/1932,NA,NA,,,,,
11/10/1932,NA,NA,,,,,
11/11/1932,NA,NA,,,,,
11/12/1932,NA,NA,,,,,
11/13/1932,NA,NA,,,,,
11/14/1932,NA,NA,,,,,
11/15/1932,NA,NA,,,,,
11/16/1932,NA,NA,,,,,
11/17/1932,NA,NA,,,,,
11/18/1932,NA,NA,,,,,
11/19/1932,NA,NA,,,,,
11/20/1932,NA,NA,,,,,
11/21/1932,NA,NA,,,,,
11/22/1932,NA,NA,,,,,
11/23/1932,NA,NA,,,,,
11/24/1932,NA,NA,,,,,
11/25/1932,NA,NA,,,,,
11/26/1932,NA,NA,,,,,
11/27/1932,NA,NA,,,,,
11/28/1932,NA,NA,,,,,
11/29/1932,NA,NA,,,,,
11/30/1932,NA,NA,,,,,
12/1/1932,NA,NA,,,,,
12/2/1932,NA,NA,,,,,
12/3/1932,NA,NA,,,,,
12/4/1932,NA,NA,,,,,
12/5/1932,NA,NA,,,,,
12/6/1932,NA,NA,,,,,
12/7/1932,NA,NA,,,,,
12/8/1932,NA,NA,,,,,
12/9/1932,NA,NA,,,,,
12/10/1932,NA,NA,,,,,
12/11/1932,NA,NA,,,,,
12/12/1932,NA,NA,,,,,
12/13/1932,NA,NA,,,,,
12/14/1932,NA,NA,,,,,
12/15/1932,NA,NA,,,,,
12/16/1932,NA,NA,,,,,
12/17/1932,NA,NA,,,,,
12/18/1932,NA,NA,,,,,
12/19/1932,NA,NA,,,,,
12/20/1932,NA,NA,,,,,
12/21/1932,NA,NA,,,,,
12/22/1932,NA,NA,,,,,
12/23/1932,NA,NA,,,,,
12/24/1932,NA,NA,,,,,
12/25/1932,NA,NA,,,,,
12/26/1932,NA,NA,,,,,
12/27/1932,NA,NA,,,,,
12/28/1932,NA,NA,,,,,
12/29/1932,NA,NA,,,,,
12/30/1932,IceInDay,NA,,,,,
12/31/1932,NA,NA,,,,,
1/1/1933,NA,NA,,,,,
1/2/1933,NA,NA,,,,,
1/3/1933,NA,NA,,,,,
1/4/1933,NA,NA,,,,,
1/5/1933,NA,NA,,,,,
1/6/1933,NA,NA,,,,,
1/7/1933,NA,NA,,,,,
1/8/1933,NA,NA,,,,,
1/9/1933,NA,NA,,,,,
1/10/1933,NA,NA,,,,,
1/11/1933,NA,NA,,,,,
1/12/1933,NA,NA,,,,,
1/13/1933,NA,NA,,,,,
1/14/1933,NA,NA,,,,,
1/15/1933,NA,NA,,,,,
1/16/1933,NA,NA,,,,,
1/17/1933,NA,NA,,,,,
1/18/1933,NA,NA,,,,,
1/19/1933,NA,NA,,,,,
1/20/1933,NA,NA,,,,,
1/21/1933,NA,NA,,,,,
1/22/1933,NA,NA,,,,,
1/23/1933,NA,NA,,,,,
1/24/1933,NA,NA,,,,,
1/25/1933,NA,NA,,,,,
1/26/1933,NA,NA,,,,,
1/27/1933,NA,NA,,,,,
1/28/1933,NA,NA,,,,,
1/29/1933,NA,NA,,,,,
1/30/1933,NA,NA,,,,,
1/31/1933,NA,NA,,,,,
2/1/1933,NA,NA,,,,,
2/2/1933,NA,NA,,,,,
2/3/1933,NA,NA,,,,,
2/4/1933,NA,NA,,,,,
2/5/1933,NA,NA,,,,,
2/6/1933,NA,NA,,,,,
