Date,Max_Temp,Min_Temp,At_Obs_Temp,Precip_Total,Snowfall,Snow_on_Ground,Precip_Duration ,"Qualitative Weather (fog, thunder, etc.)"
7/1/2022,89,65,85,0.00,0,0,,
7/2/2022,88,66,69,0.69,0,0,,
7/3/2022,81,62,79,0.00,0,0,,
7/4/2022,82,57,80,0.00,0,0,,
7/5/2022,82,65,74,0.00,0,0,,
7/6/2022,80,70,80,0.00,0,0,,
7/7/2022,82,61,77,0.00,0,0,,
7/8/2022,84,62,79,0.10,0,0,,
7/9/2022,83,63,77,0.00,0,0,,
7/10/2022,79,57,77,0.00,0,0,,
7/11/2022,84,61,82,T,0,0,,
7/12/2022,89,65,84,0.00,0,0,,
7/13/2022,89,62,84,0.09,0,0,,
7/14/2022,84,62,76,0.52,0,0,,
7/15/2022,82,58,79,0.00,0,0,,
7/16/2022,82,64,78,T,0,0,,
7/17/2022,85,65,83,0.00,0,0,,
7/18/2022,85,70,78,0.18,0,0,,
7/19/2022,89,67,87,0.26,0,0,,
7/20/2022,93,72,90,0.02,0,0,,
7/21/2022,93,72,90,0.02,0,0,,
7/22/2022,93,70,82,0.06,0,0,,
7/23/2022,94,69,91,0.00,0,0,,
7/24/2022,94,71,89,0.00,0,0,,
7/25/2022,92,68,85,0.04,0,0,,
7/26/2022,85,59,77,0.00,0,0,,
7/27/2022,84,61,81,0.02,0,0,,
7/28/2022,88,70,84,0.02,0,0,,
7/29/2022,88,67,81,0.00,0,0,,
7/30/2022,84,64,77,0.00,0,0,,
7/31/2022,84,60,80,0.00,0,0,,
